"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"AUT","fish-dominant","regular","wheat gluten","Wheat",15,77.6452857176693,86.513164114086,198.348923565145
"AUT","plant-dominant","efficient","canola oil","Rape or colza seed",270,0.0878591637840623,0.138461491670443,0.147233626037349
"AUT","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,3.17493167812394,6.45658723843713,11.4418693809831
"AUT","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.272293704390652,0.342824678896216,0.144094017003015
"AUT","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,1.15224313966152,1.15224313966152,1.15224313966152
"AUT","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,1.37629041681792,1.46642170191099,0.61695777305631
"AUT","plant-dominant","efficient","linseed oil","Linseed",333,42.2746963444746,68.2037244252087,61.9278239428744
"AUT","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,0.941375114102546,0.941375114102546,0.941375114102546
"AUT","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,0.539872957003388,0.66995004060035,1.15639169486685
"AUT","plant-dominant","efficient","soy oil","Soya beans",236,12.5803432653132,21.321479966485,20.8040209718587
"AUT","plant-dominant","efficient","soy protein concentrate","Soya beans",236,795.575996377486,685.950556739062,698.409934186203
