"iso3c_producing","diet","fcr_type","source_ingredient","FAOSTAT_name","FAO_code","total_crop_demand_ms","total_crop_demand_ge","total_crop_demand_econ"
"ATG","fish-dominant","regular","corn gluten meal","Maize (corn)",56,0.00000000593082717522038,0.00000000746706181284623,0.00000000313851072591118
"ATG","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,0.000000711170329272262,0.00000144624632522728,0.00000256292696665907
"ATG","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,0.000000000934105280097209,0.00000000117606223552328,0.00000000049431543933101
"ATG","plant-dominant","efficient","linseed oil","Linseed",333,0.00000946934068734037,0.0000152773256480692,0.0000138715523385979
"ATG","plant-dominant","regular","coconut oil","Coconuts, in shell",249,0.000000790189254746958,0.00000160694036136364,0.00000284769662962119
"ATG","plant-dominant","regular","corn gluten meal","Maize (corn)",56,0.00000000103789475566357,0.00000000130673581724809,0.000000000549239377034456
"ATG","plant-dominant","regular","linseed oil","Linseed",333,0.0000105214896526004,0.0000169748062756324,0.0000154128359317754
"AUS","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,2213.66687447257,2787.06273111434,1171.44152474284
"AUS","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,1730.65642996278,1730.65642996278,1730.65642996278
"AUS","fish-dominant","efficient","wheat","Wheat",15,4876.06660171289,4876.06660171289,4876.06660171289
"AUS","fish-dominant","efficient","wheat gluten","Wheat",15,9055.55226032393,10089.7880869386,23132.879562763
"AUS","fish-dominant","regular","corn gluten meal","Maize (corn)",56,2459.62986052508,3096.73636790482,1301.60169415871
"AUS","fish-dominant","regular","faba beans","Broad beans and horse beans, dry",181,1922.95158884753,1922.95158884753,1922.95158884753
"AUS","fish-dominant","regular","wheat","Wheat",15,5417.85177968098,5417.85177968098,5417.85177968098
"AUS","fish-dominant","regular","wheat gluten","Wheat",15,10061.7247336933,11210.8756521541,25703.1995141811
"AUS","plant-dominant","efficient","canola oil","Rape or colza seed",270,15360.6804705484,24207.63685223,25741.2953489798
"AUS","plant-dominant","efficient","coconut oil","Coconuts, in shell",249,13.6913907511462,27.843011366009,49.3412521907189
"AUS","plant-dominant","efficient","corn gluten meal","Maize (corn)",56,387.391703032701,487.735977945009,205.002266829998
"AUS","plant-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,3115.181573933,3115.181573933,3115.181573933
"AUS","plant-dominant","efficient","guar meal","Other pulses n.e.c.",211,3720.91132441997,3964.58846936639,1667.99473163654
"AUS","plant-dominant","efficient","linseed oil","Linseed",333,182.302942304656,294.117775265265,267.053946959605
"AUS","plant-dominant","efficient","pea flour","Peas, dry; Peas, green",187,2545.08298523938,2545.08298523938,2545.08298523938
"AUS","plant-dominant","efficient","pea protein concentrate","Peas, dry; Peas, green",187,1459.58976020957,1811.26356937734,3126.39752505413
"AUS","plant-dominant","efficient","wheat","Wheat",15,4527.77613016197,4527.77613016197,4527.77613016197
"AUS","plant-dominant","efficient","wheat gluten","Wheat",15,6826.49324239804,7606.14794246144,17438.6322857752
"AUS","plant-dominant","regular","canola oil","Rape or colza seed",270,17067.4227450538,26897.3742802555,28601.4392766443
"AUS","plant-dominant","regular","coconut oil","Coconuts, in shell",249,15.2126563901625,30.9366792955655,54.8236135452432
"AUS","plant-dominant","regular","corn gluten meal","Maize (corn)",56,430.43522559189,541.928864383343,227.780296477775
"AUS","plant-dominant","regular","faba beans","Broad beans and horse beans, dry",181,3461.31285992555,3461.31285992555,3461.31285992555
"AUS","plant-dominant","regular","guar meal","Other pulses n.e.c.",211,4134.34591602219,4405.09829929599,1853.32747959615
"AUS","plant-dominant","regular","linseed oil","Linseed",333,202.558824782951,326.797528072516,296.726607732894
"AUS","plant-dominant","regular","pea flour","Peas, dry; Peas, green",187,2827.86998359931,2827.86998359931,2827.86998359931
"AUS","plant-dominant","regular","pea protein concentrate","Peas, dry; Peas, green",187,1621.76640023286,2012.51507708594,3473.77502783792
"AUS","plant-dominant","regular","wheat","Wheat",15,5030.86236684663,5030.86236684663,5030.86236684663
"AUS","plant-dominant","regular","wheat gluten","Wheat",15,7584.99249155338,8451.27549162382,19376.2580953058
"AUT","fish-dominant","efficient","corn gluten meal","Maize (corn)",56,8.11149829134377,10.2125820474629,4.2924913571852
"AUT","fish-dominant","efficient","faba beans","Broad beans and horse beans, dry",181,1.22517420425991,1.22517420425991,1.22517420425991
