"iso3c","animal_system","source_ingredient","ingredient_demand","source","product","included_source","ext_rate","crop","crop_loss","tonnes_product"
"RUS","salmon_aquaculture_meat","guar protein",606.7945,"salmon","guar protein","mapspam",25,"pea",12,689.539204545454
"RUS","salmon_aquaculture_meat","linseed oil",183.4495,"salmon","oil of linseed","mapspam",35,"linseed",2,187.193367346939
"RUS","salmon_aquaculture_meat","pea flour",352.7875,"salmon","pea other","mapspam",63,"pea",12,400.894886363636
"RUS","salmon_aquaculture_meat","pea protein",197.561,"salmon","pea protein","mapspam",25,"pea",12,224.501136363636
"RUS","salmon_aquaculture_meat","rapeseed and camelina oil",2596.516,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,2649.50612244898
"RUS","salmon_aquaculture_meat","soy protein concentrate",2949.3035,"salmon","soy protein concentrate","mapspam",33,"soybean",12,3351.48125
"RUS","salmon_aquaculture_meat","soybean oil",56.446,"salmon","oil of soya bean","mapspam",18,"soybean",3,58.1917525773196
"RUS","salmon_aquaculture_meat","sunflower",479.791,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,545.217045454546
"RUS","salmon_aquaculture_meat","wheat",917.2475,"salmon","wheat","mapspam",100,"wheat",0,917.2475
"RUS","salmon_aquaculture_meat","wheat gluten",1382.927,"salmon","wheat gluten","mapspam",15,"wheat",1,1396.89595959596
"CHE","salmon_aquaculture_meat","coconut oil",0.20722,"salmon","oil of coconuts","mapspam",13,"coconut",79,0.986761904761905
"CHE","salmon_aquaculture_meat","corn gluten",1.45054,"salmon","maize gluten","mapspam",10,"maize",16,1.72683333333333
"CHE","salmon_aquaculture_meat","faba beans",7.45992,"salmon","faba bean","mapspam",100,"faba bean",0,7.45992
"CHE","salmon_aquaculture_meat","guar protein",8.91046,"salmon","guar protein","mapspam",25,"pea",12,10.1255227272727
"CHE","salmon_aquaculture_meat","linseed oil",2.69386,"salmon","oil of linseed","mapspam",35,"linseed",2,2.74883673469388
"CHE","salmon_aquaculture_meat","pea flour",5.1805,"salmon","pea other","mapspam",63,"pea",12,5.88693181818182
"CHE","salmon_aquaculture_meat","pea protein",2.90108,"salmon","pea protein","mapspam",25,"pea",12,3.29668181818182
"CHE","salmon_aquaculture_meat","rapeseed and camelina oil",38.12848,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,38.906612244898
"CHE","salmon_aquaculture_meat","soy protein concentrate",43.30898,"salmon","soy protein concentrate","mapspam",33,"soybean",12,49.21475
"CHE","salmon_aquaculture_meat","soybean oil",0.82888,"salmon","oil of soya bean","mapspam",18,"soybean",3,0.854515463917526
"CHE","salmon_aquaculture_meat","sunflower",7.04548,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,8.00622727272727
"CHE","salmon_aquaculture_meat","wheat",13.4693,"salmon","wheat","mapspam",100,"wheat",0,13.4693
"CHE","salmon_aquaculture_meat","wheat gluten",20.30756,"salmon","wheat gluten","mapspam",15,"wheat",1,20.5126868686869
"ARE","salmon_aquaculture_meat","coconut oil",0.39,"salmon","oil of coconuts","mapspam",13,"coconut",79,1.85714285714286
"ARE","salmon_aquaculture_meat","corn gluten",2.73,"salmon","maize gluten","mapspam",10,"maize",16,3.25
"ARE","salmon_aquaculture_meat","faba beans",14.04,"salmon","faba bean","mapspam",100,"faba bean",0,14.04
"ARE","salmon_aquaculture_meat","guar protein",16.77,"salmon","guar protein","mapspam",25,"pea",12,19.0568181818182
"ARE","salmon_aquaculture_meat","linseed oil",5.07,"salmon","oil of linseed","mapspam",35,"linseed",2,5.1734693877551
"ARE","salmon_aquaculture_meat","pea flour",9.75,"salmon","pea other","mapspam",63,"pea",12,11.0795454545455
"ARE","salmon_aquaculture_meat","pea protein",5.46,"salmon","pea protein","mapspam",25,"pea",12,6.20454545454545
"ARE","salmon_aquaculture_meat","rapeseed and camelina oil",71.76,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,73.2244897959184
"ARE","salmon_aquaculture_meat","soy protein concentrate",81.51,"salmon","soy protein concentrate","mapspam",33,"soybean",12,92.625
"ARE","salmon_aquaculture_meat","soybean oil",1.56,"salmon","oil of soya bean","mapspam",18,"soybean",3,1.60824742268041
"ARE","salmon_aquaculture_meat","sunflower",13.26,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,15.0681818181818
"ARE","salmon_aquaculture_meat","wheat",25.35,"salmon","wheat","mapspam",100,"wheat",0,25.35
"ARE","salmon_aquaculture_meat","wheat gluten",38.22,"salmon","wheat gluten","mapspam",15,"wheat",1,38.6060606060606
"GBR","salmon_aquaculture_meat","coconut oil",231.6,"salmon","oil of coconuts","mapspam",13,"coconut",79,1102.85714285714
"GBR","salmon_aquaculture_meat","corn gluten",1621.2,"salmon","maize gluten","mapspam",10,"maize",16,1930
"GBR","salmon_aquaculture_meat","faba beans",8337.6,"salmon","faba bean","mapspam",100,"faba bean",0,8337.6
"GBR","salmon_aquaculture_meat","guar protein",9958.8,"salmon","guar protein","mapspam",25,"pea",12,11316.8181818182
"GBR","salmon_aquaculture_meat","linseed oil",3010.8,"salmon","oil of linseed","mapspam",35,"linseed",2,3072.24489795918
"GBR","salmon_aquaculture_meat","pea flour",5790,"salmon","pea other","mapspam",63,"pea",12,6579.54545454545
"GBR","salmon_aquaculture_meat","pea protein",3242.4,"salmon","pea protein","mapspam",25,"pea",12,3684.54545454545
"GBR","salmon_aquaculture_meat","rapeseed and camelina oil",42614.4,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,43484.0816326531
"GBR","salmon_aquaculture_meat","soy protein concentrate",48404.4,"salmon","soy protein concentrate","mapspam",33,"soybean",12,55005
"GBR","salmon_aquaculture_meat","soybean oil",926.4,"salmon","oil of soya bean","mapspam",18,"soybean",3,955.051546391753
"GBR","salmon_aquaculture_meat","sunflower",7874.4,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,8948.18181818182
"GBR","salmon_aquaculture_meat","wheat",15054,"salmon","wheat","mapspam",100,"wheat",0,15054
"GBR","salmon_aquaculture_meat","wheat gluten",22696.8,"salmon","wheat gluten","mapspam",15,"wheat",1,22926.0606060606
"USA","salmon_aquaculture_meat","coconut oil",21.437676,"salmon","oil of coconuts","mapspam",13,"coconut",79,102.084171428571
"USA","salmon_aquaculture_meat","corn gluten",150.063732,"salmon","maize gluten","mapspam",10,"maize",16,178.6473
"USA","salmon_aquaculture_meat","faba beans",771.756336,"salmon","faba bean","mapspam",100,"faba bean",0,771.756336
"USA","salmon_aquaculture_meat","guar protein",921.820068,"salmon","guar protein","mapspam",25,"pea",12,1047.52280454545
"USA","salmon_aquaculture_meat","linseed oil",278.689788,"salmon","oil of linseed","mapspam",35,"linseed",2,284.377334693878
"USA","salmon_aquaculture_meat","pea flour",535.9419,"salmon","pea other","mapspam",63,"pea",12,609.024886363637
"USA","salmon_aquaculture_meat","pea protein",300.127464,"salmon","pea protein","mapspam",25,"pea",12,341.053936363636
"USA","salmon_aquaculture_meat","rapeseed and camelina oil",3944.532384,"salmon","oil of rapeseed","mapspam",38,"rapeseed",2,4025.03304489796
"USA","salmon_aquaculture_meat","soy protein concentrate",4480.474284,"salmon","soy protein concentrate","mapspam",33,"soybean",12,5091.44805
"USA","salmon_aquaculture_meat","soybean oil",85.750704,"salmon","oil of soya bean","mapspam",18,"soybean",3,88.402787628866
"USA","salmon_aquaculture_meat","sunflower",728.880984,"salmon","cake of sunflower seed","mapspam",47,"sunflower seed",12,828.273845454546
"USA","salmon_aquaculture_meat","wheat",1393.44894,"salmon","wheat","mapspam",100,"wheat",0,1393.44894
"USA","salmon_aquaculture_meat","wheat gluten",2100.892248,"salmon","wheat gluten","mapspam",15,"wheat",1,2122.11338181818
