iso3c_producing,SPAM_super,tonnes_producing_crop
BLR,maiz,1103561.2315904945
BLR,ocer,2820845.676078692
BLR,ofib,43177.55572012067
BLR,oilp,0
BLR,ooil,22437.835639238358
BLR,opul,120800.28013932705
BLR,orts,0
BLR,othr,0
BLR,plnt,0
BLR,pota,5376106.330333993
BLR,rape,673402.9017688632
BLR,rice,0.9000000357627869
BLR,sorg,7.1000000312924385
BLR,soyb,76.70000075548887
BLR,spis,0
BLR,sugb,4275939.836707711
BLR,sugc,0
BLR,sunf,3276.2212608549744
BLR,swpo,0
BLR,teas,0
BLR,tnut,19665.443711683154
BLR,toba,0
BLR,vege,1819941.625058353
BLR,whea,2531174.480219841
BLR,xcof,0
BLR,xfru,636601.1946940422
BLR,xmil,19447.011147618294
BLR,xoil,0
BLR,xpul,242920.36714668572
BLR,yams,0
BLZ,bana,99784.82451915741
BLZ,barl,0
BLZ,cass,709.4893937408924
BLZ,cnut,2631.860992908478
BLZ,coco,128.23296672850847
BLZ,maiz,76452.54955863953
BLZ,ocer,0
BLZ,ofib,0
BLZ,oilp,0
BLZ,ooil,0
BLZ,opul,2598.6143465042114
BLZ,orts,234.6168777346611
BLZ,othr,0
BLZ,plnt,6213.550176143646
BLZ,pota,1197.8074547052383
BLZ,rape,0
BLZ,rice,14608.380580663681
BLZ,sorg,10113.361022233963
BLZ,soyb,10170.983729481697
BLZ,spis,0
BLZ,sugb,0
BLZ,sugc,1698773.729232788
BLZ,sunf,0
BLZ,swpo,118.11646248400211
BLZ,teas,0
BLZ,tnut,0
BLZ,toba,0
BLZ,vege,11992.123416900635
BLZ,whea,0
BLZ,xcof,90.25894528627396
BLZ,xfru,110223.40371441841
BLZ,xmil,0
BLZ,xoil,69.239264614880085
BLZ,xpul,6878.865210533142
BLZ,yams,95.86680528521538
BMU,bana,326.2999954223633
BMU,barl,0
BMU,cass,0
BMU,cnut,0
BMU,coco,0
BMU,maiz,0
BMU,ocer,0
BMU,ofib,0
BMU,oilp,0
BMU,ooil,0
BMU,opul,0
BMU,orts,0
BMU,othr,0
BMU,plnt,0
BMU,pota,1091.7000274658203
BMU,rape,0
BMU,rice,0
BMU,sorg,0
BMU,soyb,0
BMU,spis,0
BMU,sugb,0
BMU,sugc,0
BMU,sunf,0
BMU,swpo,115.50000381469727
BMU,teas,0
BMU,tnut,0
BMU,toba,0
BMU,vege,3655.0001220703125
BMU,whea,0
BMU,xcof,0
BMU,xfru,0
BMU,xmil,0
BMU,xoil,0
BMU,xpul,0
BMU,yams,0
BOL,bana,300670.072629109
BOL,barl,47783.0550660491
BOL,cass,205430.9322616309
BOL,cnut,10.800000190734863
BOL,coco,5876.912954211235
BOL,maiz,1054783.4149066955
BOL,ocer,82551.18094195426
BOL,ofib,0
BOL,oilp,0
BOL,ooil,0.7035979628562927
BOL,opul,17028.52164465189
BOL,orts,52207.133567884564
BOL,othr,9856.686165884137
BOL,plnt,482030.93172702193
BOL,pota,1280303.8331404626
BOL,rape,0
BOL,rice,548281.68363446
BOL,sorg,1149300.2235500813
BOL,soyb,3046545.5996935815
BOL,spis,1759.552581277676
BOL,sugb,0
BOL,sugc,9910931.84885931
BOL,sunf,162879.27583860978
BOL,swpo,4545.486169278622
BOL,teas,1207.0593072772026
BOL,tnut,56479.68145906925
BOL,toba,1226.455655604601
BOL,vege,426713.1296531558
BOL,whea,294855.8723345101
BOL,xcof,23768.34732887149
BOL,xfru,759772.6931109726
BOL,xmil,0
BOL,xoil,448327.04895973206
BOL,xpul,104947.57464054227
BOL,yams,3.799999952316284
BRA,bana,6760430.598077372
BRA,barl,415449.7749643922
BRA,cass,17973901.721937776
BRA,cnut,2427522.446150556
BRA,coco,276606.49195133895
BRA,maiz,98118571.03942771
BRA,ocer,1103810.36451824
BRA,ofib,144714.54149069265
BRA,oilp,2775982.214827478
BRA,ooil,164391.22189942002
BRA,opul,14597.527412071824
BRA,orts,210.9999966621399
BRA,othr,374344.0778658688
BRA,plnt,354.8000025898218
BRA,pota,3777861.533147931
BRA,rape,47724.784101985395
BRA,rice,11052073.779445551
BRA,sorg,2650359.4469534755
BRA,soyb,123695451.74001247
BRA,spis,155444.0181812942
BRA,sugb,0
BRA,sugc,739238247.2952099
BRA,sunf,92876.08707019687
BRA,swpo,825282.3399313688
BRA,teas,484.7515144459903
BRA,tnut,355755.09077113867
BRA,toba,736791.0358812138
BRA,vege,8548295.057543047
BRA,whea,6599363.052656755
BRA,xcof,3235140.1392181814
BRA,xfru,32818238.56678687
BRA,xmil,0
BRA,xoil,7311895.558148041
BRA,xpul,2945664.380234264
BRA,yams,241544.5388969183
BRB,bana,1001.644305229187
BRB,barl,0
BRB,cass,625.2333097457886
BRB,cnut,2126.3249282836914
BRB,coco,0
BRB,maiz,79.01625692844391
BRB,ocer,0
BRB,ofib,0
BRB,oilp,0
BRB,ooil,0
BRB,opul,1683.4662551879883
BRB,orts,87.8667631149292
BRB,othr,0
BRB,plnt,0
BRB,pota,0
BRB,rape,0
BRB,rice,0
BRB,sorg,0
BRB,soyb,0
BRB,spis,0
BRB,sugb,0
BRB,sugc,119167.26245117188
BRB,sunf,0
BRB,swpo,1625.0668201446533
BRB,teas,0
BRB,tnut,0
BRB,toba,0
BRB,vege,10206.088470458984
BRB,whea,0
BRB,xcof,0
BRB,xfru,4045.3301887512207
BRB,xmil,0
BRB,xoil,9.095446482300758
BRB,xpul,127.36842906475067
BRB,yams,263.71837615966797
