"iso3c_consuming","iso3c_producing","SPAM_super","prop_of_supply","animal_system","diet","source_ingredient","consuming_ingredient_consumed_tonnes","raw_material","FAOSTAT_name","FAO_code","producing_ingredient_consumed_tonnes"
"AUS","CHN","soyb",0.0101432194399419,"salmon_aquaculture_meat","plant-dominant","soy oil",374.743544,"soybean","Soya beans",236,3.80110600049353
"AUS","CHN","soyb",0.0101432194399419,"salmon_aquaculture_meat","plant-dominant","soy protein concentrate",19580.350174,"soybean","Soya beans",236,198.607788525787
"AUS","CHN","soyb",0.0101432194399419,"salmon_aquaculture_meat","fish-dominant","soy oil",0,"soybean","Soya beans",236,0
"AUS","CHN","soyb",0.0101432194399419,"salmon_aquaculture_meat","fish-dominant","soy protein concentrate",0,"soybean","Soya beans",236,0
"AUS","CHN","soyb",0.0101432194399419,"salmon_aquaculture_meat","fish-dominant","soybean meal",15926.60062,"soybean","Soya beans",236,161.547005020975
"AUS","CHN","sunf",0.0504553154267915,"salmon_aquaculture_meat","plant-dominant","sunflower meal",3185.320124,"sunflower","Sunflower seed",267,160.716331591727
"AUS","CHN","sunf",0.0504553154267915,"salmon_aquaculture_meat","fish-dominant","sunflower meal",0,"sunflower","Sunflower seed",267,0
"AUS","CHN","whea",0.00751398814780693,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,45.7570514063514
"AUS","CHN","whea",0.00751398814780693,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,68.9875544280375
"AUS","CHN","whea",0.00751398814780693,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,49.2768245914554
"AUS","CHN","whea",0.00751398814780693,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,91.5141028127029
"AUS","COL","maiz",0.00030651836844006,"salmon_aquaculture_meat","plant-dominant","corn gluten meal",655.801202,"maize","Maize (corn)",56,0.20101511445807
"AUS","COL","maiz",0.00030651836844006,"salmon_aquaculture_meat","fish-dominant","corn gluten meal",3747.43544,"maize","Maize (corn)",56,1.14865779690326
"AUS","COL","ooil",0,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0
"AUS","COL","ooil",0,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","COL","whea",6.84241753763195e-07,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.00416674667106742
"AUS","COL","whea",6.84241753763195e-07,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.00628217190407088
"AUS","COL","whea",6.84241753763195e-07,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.00448726564576491
"AUS","COL","whea",6.84241753763195e-07,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.00833349334213484
"AUS","COK","cnut",0,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,0
"AUS","COK","cnut",0,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,0
"AUS","CYP","ooil",1.63493789579143e-05,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.0199121786918854
"AUS","CYP","ooil",1.63493789579143e-05,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","DNK","cnut",0,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,0
"AUS","DNK","cnut",0,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,0
"AUS","DNK","ooil",3.25051468492217e-05,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.0395885552676827
"AUS","DNK","ooil",3.25051468492217e-05,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","DOM","ooil",0,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0
"AUS","DOM","ooil",0,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","EGY","ooil",0.000124520598949202,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0.151655694291487
"AUS","EGY","ooil",0.000124520598949202,"salmon_aquaculture_meat","fish-dominant","linseed oil",0,"flax","Linseed",333,0
"AUS","EGY","rape",0,"salmon_aquaculture_meat","plant-dominant","canola oil",17238.203024,"rapeseed","Rape or colza seed",270,0
"AUS","EGY","rape",0,"salmon_aquaculture_meat","fish-dominant","canola oil",0,"rapeseed","Rape or colza seed",270,0
"AUS","EGY","whea",1.26711435882073e-06,"salmon_aquaculture_meat","plant-dominant","wheat",6089.58259,"wheat","Wheat",15,0.00771619753901374
"AUS","EGY","whea",1.26711435882073e-06,"salmon_aquaculture_meat","plant-dominant","wheat gluten",9181.216828,"wheat","Wheat",15,0.0116336516742053
"AUS","EGY","whea",1.26711435882073e-06,"salmon_aquaculture_meat","fish-dominant","wheat",6558.01202,"wheat","Wheat",15,0.00830975119586095
"AUS","EGY","whea",1.26711435882073e-06,"salmon_aquaculture_meat","fish-dominant","wheat gluten",12179.16518,"wheat","Wheat",15,0.0154323950780275
"AUS","FJI","cnut",0.00623103161174227,"salmon_aquaculture_meat","plant-dominant","coconut oil",93.685886,"coconut","Coconuts, in shell",249,0.583759717240083
"AUS","FJI","cnut",0.00623103161174227,"salmon_aquaculture_meat","fish-dominant","coconut oil",0,"coconut","Coconuts, in shell",249,0
"AUS","FJI","ooil",0,"salmon_aquaculture_meat","plant-dominant","linseed oil",1217.916518,"flax","Linseed",333,0
