iso3c_producing,diet,product,animal_system,SPAM_super,prop_produced_for_system,prop_extra_for_system,total_prop
ARG,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0.0035889797656571015,4.925906786636e-7,0.003589472356335765
ARG,plant-dominant,wheat,salmon_aquaculture_meat,whea,0.0012608587115063232,9.884926590346447e-10,0.0012608596999989822
ARG,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,0.0019201888691160786,3.5316850183859957e-9,0.001920192400801097
ARG,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,8.726409497631181e-4,1.9026900204633935e-7,8.728312187651644e-4
ARG,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,2.996102180459205e-4,1.1578452426443897e-23,2.996102180459205e-4
ARG,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0.004240636932342259,2.295603415172082e-5,0.0042635929664939795
ARG,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,0.023100774007461546,1.2051226968855354e-5,0.023112825234430402
ARG,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,0.031355217244976225,1.879724724975006e-5,0.031374014492225974
ARG,plant-dominant,pea other,salmon_aquaculture_meat,xpul,0.018229777468009436,8.015603650194659e-6,0.018237793071659632
ARG,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,0.010208675382085284,2.8197363060819924e-6,0.010211495118391365
ARM,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARM,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,2.377083117579682e-9,-1.5966829100675176e-22,2.3770831175795224e-9
ARM,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARM,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARM,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
ARM,fish-dominant,wheat,salmon_aquaculture_meat,whea,2.0672857812035632e-7,1.3646662428283896e-9,2.080932443631847e-7
ARM,fish-dominant,wheat gluten,salmon_aquaculture_meat,whea,3.878025274985039e-7,5.9622409263963075e-9,3.937647684249002e-7
ARM,fish-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,0,0,0
ARM,fish-dominant,oil of linseed,salmon_aquaculture_meat,xoil,0,0,0
ARM,fish-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0,0,0
ARM,fish-dominant,faba bean,salmon_aquaculture_meat,xpul,4.440722619223181e-6,3.934815878485825e-6,8.375538497709006e-6
ARM,fish-dominant,guar protein,salmon_aquaculture_meat,xpul,0,0,0
ARM,fish-dominant,pea other,salmon_aquaculture_meat,xpul,0,0,0
ARM,fish-dominant,pea protein,salmon_aquaculture_meat,xpul,0,0,0
ARM,plant-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ARM,plant-dominant,maize gluten,salmon_aquaculture_meat,maiz,4.1598954557644435e-10,-2.393122764998327e-23,4.159895455764204e-10
ARM,plant-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ARM,plant-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ARM,plant-dominant,wheat,salmon_aquaculture_meat,whea,1.9196225111175943e-7,9.897403920768483e-10,1.9295199150383628e-7
ARM,plant-dominant,wheat gluten,salmon_aquaculture_meat,whea,2.923434438065645e-7,3.5384785330137344e-9,2.958819223395782e-7
ARM,plant-dominant,cake of sunflower seed,salmon_aquaculture_meat,xoil,6.647301325688962e-4,1.9030859558098122e-7,6.649204411644772e-4
ARM,plant-dominant,oil of linseed,salmon_aquaculture_meat,xoil,2.2822667216651173e-4,1.1579279185139247e-23,2.2822667216651173e-4
ARM,plant-dominant,oil of rapeseed,salmon_aquaculture_meat,xoil,0.0032302852060490887,2.297932659525114e-5,0.0032532645326443397
ARM,plant-dominant,faba bean,salmon_aquaculture_meat,xpul,7.993300714601725e-6,1.2336104194913406e-5,2.0329404909515132e-5
ARM,plant-dominant,guar protein,salmon_aquaculture_meat,xpul,1.0849492762874815e-5,1.9405507203259208e-5,3.0254999966134024e-5
ARM,plant-dominant,pea other,salmon_aquaculture_meat,xpul,6.307844629578382e-6,8.164388066629348e-6,1.447223269620773e-5
ARM,plant-dominant,pea protein,salmon_aquaculture_meat,xpul,3.532392992563894e-6,2.8488089110638667e-6,6.3812019036277605e-6
ASM,fish-dominant,oil of coconuts,salmon_aquaculture_meat,cnut,0,0,0
ASM,fish-dominant,maize gluten,salmon_aquaculture_meat,maiz,0,0,0
ASM,fish-dominant,oil of soya bean,salmon_aquaculture_meat,soyb,0,0,0
ASM,fish-dominant,soy protein concentrate,salmon_aquaculture_meat,soyb,0,0,0
ASM,fish-dominant,soybean meal,salmon_aquaculture_meat,soyb,0,0,0
ASM,fish-dominant,wheat,salmon_aquaculture_meat,whea,0,0,0
